iter	RMSE
142	2.029899057
143	2.028401006
144	2.024249822
145	2.022390852
146	2.018298845
147	2.016607491
148	2.015197145
149	2.012962229
150	2.01130182
151	2.009554872
152	2.006880377
153	2.005398655
154	2.004095598
155	2.001428923
156	1.998167834
157	1.997003758
158	1.99423561
159	1.992519026
160	1.990737525
161	1.98922106
162	1.98732036
163	1.98601411
164	1.983388299
165	1.981688521
166	1.979746076
167	1.977204639
168	1.975167352
169	1.973602796
170	1.972181398
171	1.970414801
172	1.969110843
173	1.967178516
174	1.96470893
175	1.963481865
176	1.962626543
177	1.961033326
178	1.959301443
179	1.957358097
180	1.956013542
181	1.954796133
182	1.953465546
183	1.952068719
184	1.949369145
185	1.948033153
186	1.946834195
187	1.945564347
188	1.944487159
189	1.942818444
190	1.941121108
191	1.939178958
192	1.936235622
193	1.935032605
194	1.933555991
195	1.931404457
196	1.92902111
197	1.928119165
198	1.926586793
199	1.924881483
200	1.923193207
201	1.92238507
202	1.920435051
203	1.918601625
204	1.916495575
205	1.914924851
206	1.912633019
207	1.910679161
208	1.909901059
209	1.907988748
210	1.906979697
211	1.904092173
212	1.90251361
213	1.900645053
214	1.899193052
215	1.898291163
216	1.897339281
217	1.896687164
218	1.895551046
219	1.893312567
220	1.892311773
221	1.890426144
222	1.888923441
223	1.88811705
224	1.887145263
225	1.886337591
226	1.88483446
227	1.883956641
228	1.883169041
229	1.882151614
230	1.880028453
231	1.878075507
232	1.876743682
233	1.875041293
234	1.873789353
235	1.871806214
236	1.870617573
237	1.869365736
238	1.86868777
239	1.867508581
240	1.865810783
241	1.863692937
242	1.862162129
243	1.86098215
244	1.859700841
245	1.857859975
246	1.856324624
247	1.854290938
248	1.852857349
249	1.852305446
250	1.851421213
251	1.850575768
252	1.84925103
253	1.848269758
254	1.845128294
255	1.843941921
256	1.842573758
257	1.841252876
258	1.839807583
259	1.838521005
260	1.837545325
261	1.835752938
262	1.833211329
263	1.83160037
264	1.830417684
265	1.829248316
266	1.828555356
267	1.826862321
268	1.82603785
269	1.825477739
270	1.824417889
271	1.823456636
272	1.823061049
273	1.822445745
274	1.819411293
275	1.818822275
276	1.818059985
277	1.816468123
278	1.813887729
279	1.812939189
280	1.812068393
281	1.81045153
282	1.809702611
283	1.808623747
284	1.807440163
285	1.80522824
286	1.804360585
287	1.803332738
288	1.802836604
289	1.802173493
290	1.800151442
291	1.799093303
292	1.796418981
293	1.795835663
294	1.792561408
295	1.791327157
296	1.78978873
297	1.789026261
298	1.787917538
299	1.786539386
300	1.783862362
301	1.782711398
302	1.779982451
303	1.778474386
304	1.776322362
305	1.775808907
306	1.775578854
307	1.773519309
308	1.772678564
309	1.771640742
310	1.769403892
311	1.769148748
312	1.768247602
313	1.765253334
314	1.764865846
315	1.764146599
316	1.763710572
317	1.763089492
318	1.760722777
319	1.759572679
320	1.758450715
321	1.756355466
322	1.754819146
323	1.753765396
324	1.752867422
325	1.750826159
326	1.750293823
327	1.749922334
328	1.749511129
329	1.748717336
330	1.74634112
331	1.744275299
332	1.743179027
333	1.742634749
334	1.742390481
335	1.741195548
336	1.740504263
337	1.73998638
338	1.73941881
339	1.737957957
340	1.736939402
341	1.736173375
342	1.735139216
343	1.734786357
344	1.733538335
345	1.733058933
346	1.732359817
347	1.73154663
348	1.730698888
349	1.7304722
350	1.729463534
351	1.728539021
352	1.7268481
353	1.726681593
354	1.725464186
355	1.724634399
356	1.723644992
357	1.722961638
358	1.721755931
359	1.721171925
360	1.720324097
361	1.718190798
362	1.717155381
363	1.716077237
364	1.715443898
365	1.713763517
366	1.712226478
367	1.711244035
368	1.709780884
369	1.709139915
370	1.707774667
371	1.706753457
372	1.706358841
373	1.704038752
374	1.70343595
375	1.701320751
376	1.698369011
377	1.69780043
378	1.695495728
379	1.695059698
380	1.694169231
381	1.692265044
382	1.691141112
383	1.688342125
384	1.686715286
385	1.685224475
386	1.683559656
387	1.68275855
388	1.680586337
389	1.678651623
390	1.677283697
391	1.675879873
392	1.675517611
393	1.673600376
394	1.672922099
395	1.671021132
396	1.669837904
397	1.668393198
398	1.66674744
399	1.665318723
400	1.664695044
401	1.663910365
402	1.663255549
403	1.662685462
404	1.661356821
405	1.660963068
406	1.659802174
407	1.659346025
408	1.659145919
409	1.658268735
410	1.656207807
411	1.655233775
412	1.654467147
413	1.653024546
414	1.650403597
415	1.650160578
416	1.648104919
417	1.646754316
418	1.645368859
419	1.644465714
420	1.642803602
421	1.641244488
422	1.640191918
423	1.639462566
424	1.638623431
425	1.636801225
426	1.634733807
427	1.634370998
428	1.633534484
429	1.632237231
430	1.63124617
431	1.630655963
432	1.630487167
433	1.628822825
434	1.628191455
435	1.626585407
436	1.625861834
437	1.624049095
438	1.622468929
439	1.621757925
440	1.621408065
441	1.621025272
442	1.61922607
443	1.618963238
444	1.618341131
445	1.617385823
446	1.616853117
447	1.614400989
448	1.612072622
449	1.611249557
450	1.610593723
451	1.609822599
452	1.609478688
453	1.608489343
454	1.607565701
455	1.605349087
456	1.604661522
457	1.603768702
458	1.603179719
459	1.601262118
460	1.599611536
461	1.598742717
462	1.596876235
463	1.596032008
464	1.595516641
465	1.594595817
466	1.593775249
467	1.592888003
468	1.592090706
469	1.591254366
470	1.590260833
471	1.587960167
472	1.587195049
473	1.586407061
474	1.585100362
475	1.584448771
476	1.584239485
477	1.583772373
478	1.583542692
479	1.582956147
480	1.581946837
481	1.581196984
482	1.580233763
483	1.579852435
484	1.579039429
485	1.578155209
486	1.576841086
487	1.574759907
488	1.571745032
489	1.568846571
490	1.567945876
491	1.56343685
492	1.563013306
493	1.562309724
494	1.561944221
495	1.560712495
496	1.557588235
497	1.557215487
498	1.556874315
499	1.555719422
500	1.55421429
501	1.55254728
502	1.551481278
503	1.549478483
504	1.548595654
505	1.545636463
506	1.544531665
507	1.544175885
508	1.542913619
509	1.542355839
510	1.54063561
511	1.53799255
512	1.537575569
513	1.537160694
514	1.536904843
515	1.534361446
516	1.534112411
517	1.532165442
518	1.531903815
519	1.531719704
520	1.530654383
521	1.527855708
522	1.526477556
523	1.526130851
524	1.525104612
525	1.524602283
526	1.523629731
527	1.521994655
528	1.519313737
529	1.517887868
530	1.516424275
531	1.514691013
532	1.513301193
533	1.512319234
534	1.509804197
535	1.508822181
536	1.508300546
537	1.506843921
538	1.505577862
539	1.503919352
540	1.502583726
541	1.502193775
542	1.500681021
543	1.500127601
544	1.499271869
545	1.499097376
546	1.498405421
547	1.496569925
548	1.494945985
549	1.494647666
550	1.494478169
551	1.493709646
552	1.49354623
553	1.493087902
554	1.492992801
555	1.492573967
556	1.491632329
557	1.490821555
558	1.490663694
559	1.489149814
560	1.487272875
561	1.487122356
562	1.486026099
563	1.484630166
564	1.483102662
565	1.482955707
566	1.481500536
567	1.480113324
568	1.478359042
569	1.478177507
570	1.478035709
571	1.476884981
572	1.47671332
573	1.475769604
574	1.475495762
575	1.475037981
576	1.474608851
577	1.47447131
578	1.473278692
579	1.472956217
580	1.472454755
581	1.471118178
582	1.470410209
583	1.469613519
584	1.468636902
585	1.467925698
586	1.466859621
587	1.466624314
588	1.464876719
589	1.464195204
590	1.463370708
591	1.463136171
592	1.46209497
593	1.46197007
594	1.461363678
595	1.460214505
596	1.459525944
597	1.457971733
598	1.457698741
599	1.456825407
600	1.455182747
601	1.454108737
602	1.452594238
603	1.451068558
604	1.450131101
605	1.44894519
606	1.447633903
607	1.446827355
608	1.445262461
609	1.44445679
610	1.4443384
611	1.44327464
612	1.443023587
613	1.442118902
614	1.441784458
615	1.440482907
616	1.440263529
617	1.439564429
618	1.438690107
619	1.436588734
620	1.435679113
621	1.435549727
622	1.435435139
623	1.435323423
624	1.434906867
625	1.434798914
626	1.433651161
627	1.431612927
628	1.430871641
629	1.429934788
630	1.429277018
631	1.428703315
632	1.426883799
633	1.426779659
634	1.426678425
635	1.425383066
636	1.423932566
637	1.423763136
638	1.423526154
639	1.422150814
640	1.42045515
641	1.419110098
642	1.418142163
643	1.418043334
644	1.417731586
645	1.416822711
646	1.415093415
647	1.414134216
648	1.41321536
649	1.412426976
650	1.411720751
651	1.410618671
652	1.409961538
653	1.409809115
654	1.409717093
655	1.408205752
656	1.408116742
657	1.407123028
658	1.406540011
659	1.405579632
660	1.404041969
661	1.403028589
662	1.402017407
663	1.401784184
664	1.400598767
665	1.400365005
666	1.399994859
667	1.399323962
668	1.398178457
669	1.396934489
670	1.396092339
671	1.395440677
672	1.3947066
673	1.39402959
674	1.393695729
675	1.393084738
676	1.392810772
677	1.392158771
678	1.391564737
679	1.390500604
680	1.389922919
681	1.389609204
682	1.389047144
683	1.388500517
684	1.387682809
685	1.387515196
686	1.387269674
687	1.386428261
688	1.385896189
689	1.384302526
690	1.38419259
691	1.384108829
692	1.383826879
693	1.382861128
694	1.38135649
695	1.380838344
696	1.380075645
697	1.379571289
698	1.378324615
699	1.377833707
700	1.377754103
701	1.377668021
702	1.377346728
703	1.376097959
704	1.376022765
705	1.375530083
706	1.375064623
707	1.374307018
708	1.372567711
709	1.371767661
710	1.371313817
711	1.369788228
712	1.369346252
713	1.36804641
714	1.367303909
715	1.366598367
716	1.365420822
717	1.365073581
718	1.364580565
719	1.364151403
720	1.363138889
721	1.362293513
722	1.360231947
723	1.359427854
724	1.35900931
725	1.357451528
726	1.356392669
727	1.355517484
728	1.354702013
729	1.353916154
730	1.353507235
731	1.352259071
732	1.352040851
733	1.351715067
734	1.349937816
735	1.349377067
736	1.349193251
737	1.348228165
738	1.347533238
739	1.346040243
740	1.345731655
741	1.345331678
742	1.344650685
743	1.343604134
744	1.343214415
745	1.342835039
746	1.34195912
747	1.341105956
748	1.340736389
749	1.340232902
750	1.339060187
751	1.338700521
752	1.337793558
753	1.337234153
754	1.33654134
755	1.335900858
756	1.334733103
757	1.334662391
758	1.333992479
759	1.333283837
760	1.332068876
761	1.331353178
762	1.331001617
763	1.330472149
764	1.329079065
765	1.328736078
766	1.328665251
767	1.327434031
768	1.327288732
769	1.326954845
770	1.326886491
771	1.326512442
772	1.325788661
773	1.324468873
774	1.323919036
775	1.32321905
776	1.323151257
777	1.322826753
778	1.322510459
779	1.321884024
780	1.321224224
781	1.320260577
782	1.319735176
783	1.319348951
784	1.319041577
785	1.317934731
786	1.317263974
787	1.316964285
788	1.316143698
789	1.314836785
790	1.314075915
791	1.312610599
792	1.311475899
793	1.310792396
794	1.310078081
795	1.309523903
796	1.309457178
797	1.308869361
798	1.307511887
799	1.306683485
800	1.305848553
801	1.304906947
802	1.303661035
803	1.302719984
804	1.302014284
805	1.301790419
806	1.300919231
807	1.300727865
808	1.299433834
809	1.299223149
810	1.298772961
811	1.298614798
812	1.298320206
813	1.298260671
814	1.297710052
815	1.296989494
816	1.296223122
817	1.295594456
818	1.295420292
819	1.295336945
820	1.294097657
821	1.29298943
822	1.291880876
823	1.291107994
824	1.290793357
825	1.290608769
826	1.289877617
827	1.28837004
828	1.287839011
829	1.286929657
830	1.285341204
831	1.285289819
832	1.28437331
833	1.283897263
834	1.283324766
835	1.282449738
836	1.282400941
837	1.28138505
838	1.280768807
839	1.280601357
840	1.279805492
841	1.278742329
842	1.278198426
843	1.276764543
844	1.276592405
845	1.275454761
846	1.27405835
847	1.273279335
848	1.272269888
849	1.271488371
850	1.27095102
851	1.270249605
852	1.269650555
853	1.268952543
854	1.268801211
855	1.268659333
856	1.267672356
857	1.267564509
858	1.26687571
859	1.266352183
860	1.26537969
861	1.264707511
862	1.263789816
863	1.263499627
864	1.263217214
865	1.262692808
866	1.262160189
867	1.261834414
868	1.260672111
869	1.259853381
870	1.259430993
871	1.259121799
872	1.258381772
873	1.25819347
874	1.25770219
875	1.25693908
876	1.256300987
877	1.255535918
878	1.254926839
879	1.25435481
880	1.254136062
881	1.253186673
882	1.251939616
883	1.251261104
884	1.251068796
885	1.250792185
886	1.249997511
887	1.249794003
888	1.248777086
889	1.24808253
890	1.246839688
891	1.246796596
892	1.246103124
893	1.245356262
894	1.245170285
895	1.243889232
896	1.243222962
897	1.242409877
898	1.241861077
899	1.24170667
900	1.241059834
901	1.240206074
902	1.239482826
903	1.239303928
904	1.238826122
905	1.238135616
906	1.23752162
907	1.236840164
908	1.236160193
909	1.23535425
910	1.234696648
911	1.233917113
912	1.233326776
913	1.232520638
914	1.231168362
915	1.230471988
916	1.229796422
917	1.229167904
918	1.228533274
919	1.227848333
920	1.22771997
921	1.227199096
922	1.227005599
923	1.22685947
924	1.226715188
925	1.226190691
926	1.224895229
927	1.22462511
928	1.224008002
929	1.22336736
930	1.22248995
931	1.221577097
932	1.220982728
933	1.220336444
934	1.219603881
935	1.218798527
936	1.218010206
937	1.217442292
938	1.216695216
939	1.216024242
940	1.215057793
941	1.214894252
942	1.214440963
943	1.213595838
944	1.213036947
945	1.212764204
946	1.212515115
947	1.211967028
948	1.21169858
949	1.211003041
950	1.209757043
951	1.208882421
952	1.208171826
953	1.207609922
954	1.207476911
955	1.206523801
956	1.205988055
957	1.205432552
958	1.204796266
959	1.204241995
960	1.20285154
961	1.20226683
962	1.201324157
963	1.200832317
964	1.200316968
965	1.199091987
966	1.198785975
967	1.198276626
968	1.197887642
969	1.196951441
970	1.196303735
971	1.195794178
972	1.194969227
973	1.194678414
974	1.193749709
975	1.193265483
976	1.192717573
977	1.191482117
978	1.190279146
979	1.189802138
980	1.18928709
981	1.188322587
982	1.187546235
983	1.187148338
984	1.186739848
985	1.186565261
986	1.186300234
987	1.186094387
988	1.185592185
989	1.185313119
990	1.184112453
991	1.183580031
992	1.182724936
993	1.182241171
994	1.182111696
995	1.181223299
996	1.180653734
997	1.179726122
998	1.179595597
999	1.178703442
